level,questionBody ,questionOptions ,,,,questionSoln ,questionExplanation 
1,4 + 29 = ?,33,23,43,53,33,"Starting from the ones place, 4 + 9 = 13. Carrying over the 1 from 13, 2 + 1 = 3. Therefore, 4 + 29 = 33."
,24 + 75 = ?,2475,99,109,7524,99,"Starting from the ones place, 4 + 5 = 9. Next we add the tens place, 2 + 7 = 9. Therefore, 24 + 75 = 99."
,45 + 326 = ?,361,365,371,419,371,"Starting from the ones place, 5 + 6 = 11. Carrying over the 1 from 11, 4 + 2 + 1 = 7. There is nothing to add in the hundreds place. Therefore, 45 + 326 = 371."
2,29 - 4 = ?,13,25,21,19,25,"Starting from the ones place, 9 - 4 = 5. There is nothing to subtract in the tens place. Therefore, 29 - 4 = 25."
,37 - 19 = ? ,23,22,19,18,18,"Starting from the ones place, 7 is bigger than 9 so we will borrow 10 from 39. 17 - 9 = 8. In the tens place, 3 is now 2. 2 - 1 = 1. Therefore, 37 - 19 = 18. "
,321 - 132 = ?,211,289,189,199,189,"Starting from the ones place, 1 is bigger than 2 so we will borrow 10 from 321. 11 - 2 = 9. In the tens place, 2 is reduced to 1. 1 is bigger than 3 so we will borrow 100 from 321. 11 - 3 = 8. In the hundreds place, 3 is now 2. 2 - 1 = 1. Therefore, 321 - 132 = 189. "
3,321 + 432 = ?,111,753,653,813,753,"Starting from the ones place, 1 + 2 = 3. Next we add the tens place, 2 + 3 = 5. Lastly we add the hundreds place, 3 + 4 = 7. Therefore, 321 + 432 = 753."
,436 + 372 = ?,808,144,444,708,808,"Starting from the ones place, 6 + 2 = 8. Next we add the tens place, 3 + 7 = 10. Carrying over the 1 from 10,  4 + 3 + 1 = 8. Therefore, 436 + 372 = 808."
,849 + 132 = ?,617,971,677,981,981,"Starting from the ones place, 9 + 2 = 11. Carrying over the 1 from 11,  4 + 3 + 1 = 8. Lastly we add the hundreds place, 8 + 1 = 9. Therefore, 849 + 132 = 981."
4,923 - 32 = ? ,900,911,890,891,891,"Starting from the ones place, 3 - 2 = 1. In the tens place, 3 is bigger than 2 so we will borrow 100 from 923. 12 - 3 = 9. In the hundreds place, 9 is now 8. Therefore, 923 - 32 = 891. "
,382 - 312 = ? ,94,80,70,694,70,"Starting from the ones place, 2 - 2 = 0. In the tens place, 8 - 1 = 7. In the hundreds place, 3 - 3 = 0. Therefore, 382 - 312 = 70. "
,837 - 348 = ?,489,511,589,519,489,"Starting from the ones place, 8 is bigger than 7 so we will borrow 10 from 837. 17 - 8 = 9. In the tens place, 3 is reduced to 2. 4 is bigger than 2 so we will borrow 100 from 837. 12 - 4 = 8. In the hundreds place, 8 is now 7. 7 - 3 = 4. Therefore, 837 - 348 = 489. "
5,74 + 39 = ? ,113,103,45,35,113,"Starting from the ones place, 4 + 9 = 13. Carrying over the 1 from 13, 7 + 3 + 1 = 11. Carry over the 1 from 11. Therefore, 74 + 39 = 113."
,765 + 165 = ?,930,920,820,830,930,"Starting from the ones place, 5 + 5 = 10. Carrying over the 1 from 10, 6 + 6 + 1 = 13. Carrying over the 1 from 13, 7 + 1 + 1 = 9. Therefore, 765 + 165 = 930."
,163 - 71 = ?,112,102,92,82,92,"Starting from the ones place, 3 - 1 = 2. In the tens place, 7 is bigger than 6 so we will borrow 100 from 163. 16 - 7 = 9. In the hundreds place, 1 is now 0. Therefore, 163 - 71 = 92. "
,123 - 34 = ?,157,89,124,91,89,"Starting from the ones place, 4 is bigger than 3 so we will borrow 10 from 123. 13 - 4 = 9. In the tens place, 2 is now 1. 3 is bigger than 1 so we will borrow 100 from 123. 11 - 3 = 8. In the hundreds place, 1 is now 0. Therefore, 123 - 34 = 89. "
,985 - 349 = ?,646,644,636,634,636,"Starting from the ones place, 9 is bigger than 5 so we will borrow 10 from 985. 15 - 9 = 6. In the tens place, 8 is now 7. 7 - 4 = 3. In the hundreds place, 9 - 3 = 6. Therefore, 985 - 349 = 636. "
6,5 x 2 = ?,2,5,7,10,10,"5 x 2 is the same as 5 groups of 2 or 2 groups of 5. So 5 x 2 = 5 + 5 = 10. Therefore, 5 x 2 = 10."
,7 x 8 = ?,15,28,56,63,56,"7 x 8 is the same as 7 groups of 8 or 8 groups of 7. So 7 x 8 = 8 + 8 + 8 + 8 + 8 + 8 + 8 = 56. Therefore, 7 x 8 = 56."
,12 x 6 = ?,18,36,72,126,72,"12 x 6 is the same as 12 groups of 6 or 6 groups of 12. So 12 x 6 = 12 + 12 + 12 + 12 + 12 + 12 = 72. Therefore, 12 x 6 = 72."
7,22 ÷ 11 = ?,11,2,33,3,2,"22 ÷ 11 is the same as finding how many groups of 11 are in 22. Since 22 can be split into 2 groups of 11, 22 ÷ 11 = 2."
,39 ÷ 3 = ?,13,12,31,21,13,"39 ÷ 3 is the same as finding how many groups of 3 are in 39. Since 39 can be split into 13 groups of 3, 39 ÷ 3 = 13."
,84 ÷ 4 = ?,40,80,41,21,21,"84 ÷ 4 is the same as finding how many groups of 4 are in 84. Since 84 can be split into 21 groups of 4, 84 ÷ 4 = 21."
8,32 x 10 = ?,230,203,320,302,320,
,54 x 5 = ?,254,270,45,27,270,
,43 x 15 = ?,68,685,658,645,645,
9,245 ÷ 5 = ?,49,41,40,45,49,
,945 ÷ 9 = ?,15,115,105,150,105,
,286 ÷ 11 = ?,18,26,28,16,26,
10,23 x 11 = ?,253,2323,23,34,253,
,24 x 7 = ? ,188,168,178,158,168,
,48 ÷ 12 = ? ,36,60,4,3,4,
,45 ÷ 9 = ?,54,44,5,4,5,
,84 ÷ 7 = ?,10,11,12,13,12,
11,,,,,,,
,,,,,,,
,,,,,,,
12,,,,,,,
,,,,,,,
,,,,,,,
13,,,,,,,
,,,,,,,
,,,,,,,
14,,,,,,,
,,,,,,,
,,,,,,,
15,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
16,,,,,,,
,,,,,,,
,,,,,,,
17,,,,,,,
,,,,,,,
,,,,,,,
18,,,,,,,
,,,,,,,
,,,,,,,
19,,,,,,,
,,,,,,,
,,,,,,,
20,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21,,,,,,,
,,,,,,,
,,,,,,,
22,,,,,,,
,,,,,,,
,,,,,,,
23,,,,,,,
,,,,,,,
,,,,,,,
24,,,,,,,
,,,,,,,
,,,,,,,
25,,,,,,,